日期,操作,股价,PE,回撤,交易股数,交易金额,总持仓,总投入,当前市值,收益
2022-03-28,BUY,35.33023157449509,36.4834,-53.99071523463446,283.0437150946671,10000.0,1991.5416855890965,90000.03039836884,70361.62894212306,-19638.401456245774
2022-04-27,BUY,27.615160265345317,41.9131,-61.559986739512325,362.1199335406049,10000.0,2353.661619129701,100000.03039836884,64996.742822658845,-35003.28757570999
2022-05-27,BUY,29.3076696804306,44.4822,-59.20403139707591,341.2076125137042,10000.0,2694.8692316434053,110000.03039836884,78980.33727296074,-31019.6931254081
2022-06-27,BUY,34.99545206828701,53.1158,-51.25982108052942,285.75141651226255,10000.0,2980.620648155668,120000.03039836884,104308.16702627823,-15691.863372090607
2022-07-27,BUY,35.79580996353757,54.1166,-42.4280124894721,279.3623055376098,10000.0,3259.9829536932775,130000.03039836884,116693.73029477647,-13306.300103592366
2022-08-29,BUY,33.82013737557779,54.8357,-39.14247631581168,295.6818267456597,10000.0,3555.664780438937,140000.03039836884,120253.07133594848,-19746.959062420356
2022-09-28,BUY,33.069426798220285,53.6182,-38.172195693179354,302.3941134818271,10000.0,3858.058893920764,150000.03039836884,127583.79617573544,-22416.2342226334
2022-11-01,SELL,40.991760423144584,75.6962,-23.360312318124134,-1929.029446960382,79074.31293899108,1929.029446960382,75000.01519918442,79074.31293899108,83148.61067879773
2023-01-16,SELL,42.61174443617079,78.6883,-15.297827669145182,-964.514723480191,41099.65490186184,964.514723480191,37500.00759959221,41099.65490186184,44699.30220413147
2023-02-15,SELL,44.271343164607416,81.7534,-0.906537162357135,-482.2573617400955,21350.181155253984,482.2573617400955,18750.003799796104,21350.181155253984,23950.358510711863
2023-03-21,SELL,40.85350741042821,75.8969,-8.556749604131097,-241.12868087004776,9850.952350791275,241.12868087004776,9375.001899898052,9850.952350791275,10326.902801684497
2023-04-20,SELL,47.22496008802449,87.2085,-3.0224554140893867,-120.56434043502388,5693.646165083,120.56434043502388,4687.500949949026,5693.646165083,6699.791380216973
2023-05-22,SELL,48.1140643220584,79.4833,-1.1966593660497349,-60.28217021751194,2900.4202153186425,60.28217021751194,2343.750474974513,2900.4202153186425,3457.089955662772
2023-06-21,SELL,46.003748583023196,75.7294,-5.53024140171845,-30.14108510875597,1386.602901362714,30.14108510875597,1171.8752374872565,1386.602901362714,1601.3305652381714
2023-07-24,SELL,46.88567997509522,77.182,-3.8613386448208775,-15.070542554377985,706.5926352556203,15.070542554377985,585.9376187436283,706.5926352556203,827.2476517676123
2024-02-02,BUY,35.64663360325832,54.5143,-27.040089813464352,280.53139915815046,10000.0,295.60194171252846,10585.937618743628,10537.214108638225,-48.723510105402966
2025-08-15,HOLD,63.4,61.5054,-0.6270189082978495,0.0,0.0,295.60194171252846,10585.937618743628,18741.163104574305,8155.225485830677
